import time: self [us] | cumulative | imported package
import time:       743 |        743 |                       openai.types.chat.chat_completion_token_logprob
import time:      1320 |       4647 |                     openai.types.chat.chat_completion
import time:       162 |        162 |                     openai.types.chat.chat_completion_role
import time:      2595 |       2595 |                     openai.types.chat.chat_completion_chunk
import time:       282 |        282 |                     openai.types.chat.completion_list_params
import time:       766 |        766 |                       openai.types.chat.parsed_function_tool_call
import time:      1802 |       2567 |                     openai.types.chat.parsed_chat_completion
import time:       435 |        435 |                     openai.types.chat.chat_completion_deleted
import time:       159 |        159 |                     openai.types.chat.chat_completion_modality
import time:       218 |        218 |                       openai.types.chat.chat_completion_tool_param
import time:       253 |        253 |                       openai.types.chat.chat_completion_audio_param
import time:       205 |        205 |                           openai.types.chat.chat_completion_content_part_text_param
import time:       221 |        425 |                         openai.types.chat.chat_completion_tool_message_param
import time:       266 |        266 |                             openai.types.chat.chat_completion_content_part_image_param
import time:       274 |        274 |                             openai.types.chat.chat_completion_content_part_input_audio_param
import time:       298 |        838 |                           openai.types.chat.chat_completion_content_part_param
import time:       220 |       1057 |                         openai.types.chat.chat_completion_user_message_param
import time:       226 |        226 |                         openai.types.chat.chat_completion_system_message_param
import time:       225 |        225 |                         openai.types.chat.chat_completion_function_message_param
import time:       284 |        284 |                           openai.types.chat.chat_completion_message_tool_call_param
import time:       192 |        192 |                           openai.types.chat.chat_completion_content_part_refusal_param
import time:       422 |        897 |                         openai.types.chat.chat_completion_assistant_message_param
import time:       229 |        229 |                         openai.types.chat.chat_completion_developer_message_param
import time:       212 |       3269 |                       openai.types.chat.chat_completion_message_param
import time:       180 |        180 |                       openai.types.chat.chat_completion_stream_options_param
import time:       211 |        211 |                       openai.types.chat.chat_completion_prediction_content_param
import time:       242 |        242 |                         openai.types.chat.chat_completion_named_tool_choice_param
import time:       189 |        431 |                       openai.types.chat.chat_completion_tool_choice_option_param
import time:       196 |        196 |                       openai.types.chat.chat_completion_function_call_option_param
import time:      1325 |       6080 |                     openai.types.chat.completion_create_params
import time:       197 |        197 |                     openai.types.chat.completion_update_params
import time:       533 |        533 |                     openai.types.chat.chat_completion_store_message
import time:       132 |        132 |                     openai.types.chat.chat_completion_reasoning_effort
import time:       347 |      18131 |                   openai.types.chat
import time:        19 |      18150 |                 openai.types.chat.chat_completion_stream_options_param
import time:       598 |      18747 |               openai.types.completion_create_params
import time:       199 |        199 |                   openai.types.moderation_text_input_param
import time:       263 |        263 |                   openai.types.moderation_image_url_input_param
import time:       162 |        623 |                 openai.types.moderation_multi_modal_input_param
import time:       235 |        858 |               openai.types.moderation_create_params
import time:       214 |        214 |               openai.types.vector_store_list_params
import time:       696 |        696 |               openai.types.create_embedding_response
import time:       417 |        417 |               openai.types.moderation_create_response
import time:       189 |        189 |                   openai.types.auto_file_chunking_strategy_param
import time:       183 |        183 |                     openai.types.static_file_chunking_strategy_param
import time:       200 |        382 |                   openai.types.static_file_chunking_strategy_object_param
import time:       165 |        736 |                 openai.types.file_chunking_strategy_param
import time:       303 |       1038 |               openai.types.vector_store_create_params
import time:       356 |        356 |               openai.types.vector_store_search_params
import time:       283 |        283 |               openai.types.vector_store_update_params
import time:      1926 |       1926 |               openai.types.vector_store_search_response
